system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
10,Anderson County,80,Norwood Elementary,K8,Weighted Subgroup Score,2.6,NA,2.6,NA,2.4,2, 
10,Anderson County,85,Norwood Middle School,K8,Achievement,3,NA,3,NA,2,2,2.8
10,Anderson County,85,Norwood Middle School,K8,Growth,4,2,4,NA,4,4,3.7
10,Anderson County,85,Norwood Middle School,K8,Chronic Absenteeism,4,NA,2,NA,NA,4,3.6
10,Anderson County,85,Norwood Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,85,Norwood Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,85,Norwood Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,85,Norwood Middle School,K8,Weighted Subgroup Score,3.5,2,3.3,NA,2.9,3, 
10,Anderson County,105,Clinch River Community School,NA,Achievement,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,Growth,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,Chronic Absenteeism,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,105,Clinch River Community School,NA,Weighted Subgroup Score,NA,NA,NA,NA,NA,NA, 
11,Clinton,5,Clinton Elementary,K8,Achievement,4,3,3,NA,3,NA,3.6
11,Clinton,5,Clinton Elementary,K8,Growth,3,3,3,NA,3,2,2.9
11,Clinton,5,Clinton Elementary,K8,Chronic Absenteeism,3,3,2,NA,NA,4,3
11,Clinton,5,Clinton Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
11,Clinton,5,Clinton Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
11,Clinton,5,Clinton Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
11,Clinton,5,Clinton Elementary,K8,Weighted Subgroup Score,3.5,3,2.9,NA,3,2.4, 
11,Clinton,10,North Clinton Elementary,K8,Achievement,2,NA,2,NA,2,NA,2
11,Clinton,10,North Clinton Elementary,K8,Growth,2,NA,2,NA,2,NA,2
11,Clinton,10,North Clinton Elementary,K8,Chronic Absenteeism,2,NA,2,NA,NA,4,2.4
11,Clinton,10,North Clinton Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
11,Clinton,10,North Clinton Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
11,Clinton,10,North Clinton Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
11,Clinton,10,North Clinton Elementary,K8,Weighted Subgroup Score,2,NA,2,NA,2,4, 
11,Clinton,15,South Clinton Elementary,K8,Achievement,4,NA,2,NA,2,NA,3.2
11,Clinton,15,South Clinton Elementary,K8,Growth,2,NA,2,NA,2,2,2
11,Clinton,15,South Clinton Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,4,4
11,Clinton,15,South Clinton Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
11,Clinton,15,South Clinton Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
11,Clinton,15,South Clinton Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
11,Clinton,15,South Clinton Elementary,K8,Weighted Subgroup Score,3.2,NA,2.2,NA,2,2.4, 
12,Oak Ridge,15,Glenwood Elementary,K8,Achievement,4,2,3,NA,2,NA,3.4
12,Oak Ridge,15,Glenwood Elementary,K8,Growth,4,4,4,NA,4,3,3.9
12,Oak Ridge,15,Glenwood Elementary,K8,Chronic Absenteeism,4,4,4,NA,NA,3,3.9
12,Oak Ridge,15,Glenwood Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,15,Glenwood Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,15,Glenwood Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,15,Glenwood Elementary,K8,Weighted Subgroup Score,4,3,3.5,NA,2.9,3, 
12,Oak Ridge,25,Jefferson Middle School,K8,Achievement,3,3,3,NA,3,3,3
12,Oak Ridge,25,Jefferson Middle School,K8,Growth,4,2,2,3,3,4,3.5
12,Oak Ridge,25,Jefferson Middle School,K8,Chronic Absenteeism,2,3,2,NA,NA,3,2.3
12,Oak Ridge,25,Jefferson Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,25,Jefferson Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,25,Jefferson Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,25,Jefferson Middle School,K8,Weighted Subgroup Score,3.3,2.6,2.5,3,3,3.4, 
12,Oak Ridge,30,Linden Elementary,K8,Achievement,3,2,4,NA,4,NA,3
12,Oak Ridge,30,Linden Elementary,K8,Growth,3,2,2,NA,3,2,2.6
12,Oak Ridge,30,Linden Elementary,K8,Chronic Absenteeism,3,2,4,NA,NA,4,3.1
12,Oak Ridge,30,Linden Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,30,Linden Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,30,Linden Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,30,Linden Elementary,K8,Weighted Subgroup Score,3,2,3.2,NA,3.6,2.4, 
12,Oak Ridge,35,Oak Ridge High School,HS,Achievement,3,3,2,NA,2,2,2.7
12,Oak Ridge,35,Oak Ridge High School,HS,Growth,4,2,3,NA,3,1,3.2
12,Oak Ridge,35,Oak Ridge High School,HS,Chronic Absenteeism,4,4,4,NA,NA,4,4
12,Oak Ridge,35,Oak Ridge High School,HS,ELPA,1,1,NA,1,NA,NA,1
12,Oak Ridge,35,Oak Ridge High School,HS,Graduation Rate,2,2,1,NA,NA,0,1.6
12,Oak Ridge,35,Oak Ridge High School,HS,Ready Graduate,4,4,3,NA,3,0,3.3
12,Oak Ridge,35,Oak Ridge High School,HS,Weighted Subgroup Score,3.3,2.8,2.7,1,2.6,1.4, 
12,Oak Ridge,40,Robertsville Middle School,K8,Achievement,3,2,2,NA,2,1,2.5
12,Oak Ridge,40,Robertsville Middle School,K8,Growth,4,3,3,3,3,4,3.7
12,Oak Ridge,40,Robertsville Middle School,K8,Chronic Absenteeism,2,3,4,NA,NA,0,2.1
12,Oak Ridge,40,Robertsville Middle School,K8,ELPA,1,1,NA,1,NA,NA,1
12,Oak Ridge,40,Robertsville Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,40,Robertsville Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,40,Robertsville Middle School,K8,Weighted Subgroup Score,3.1,2.4,2.6,2.6,2.4,2.1, 
12,Oak Ridge,45,Willow Brook Elementary,K8,Achievement,1,2,2,NA,2,2,1.4
12,Oak Ridge,45,Willow Brook Elementary,K8,Growth,2,1,1,NA,2,2,1.7
12,Oak Ridge,45,Willow Brook Elementary,K8,Chronic Absenteeism,4,2,4,NA,NA,4,3.7
12,Oak Ridge,45,Willow Brook Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,45,Willow Brook Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,45,Willow Brook Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,45,Willow Brook Elementary,K8,Weighted Subgroup Score,1.7,1.6,1.8,NA,2,2.2, 
12,Oak Ridge,50,Woodland Elementary,K8,Achievement,4,3,4,NA,3,NA,3.8
12,Oak Ridge,50,Woodland Elementary,K8,Growth,4,4,4,4,4,3,3.9
12,Oak Ridge,50,Woodland Elementary,K8,Chronic Absenteeism,4,4,4,4,NA,2,3.8
12,Oak Ridge,50,Woodland Elementary,K8,ELPA,4,NA,NA,4,NA,NA,4
12,Oak Ridge,50,Woodland Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,50,Woodland Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
12,Oak Ridge,50,Woodland Elementary,K8,Weighted Subgroup Score,4,3.5,4,4,3.4,2.8, 
20,Bedford County,12,Cascade Elementary,K8,Achievement,4,4,2,NA,3,NA,3.6
