system,system_name,school,school_name,pool,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,final_score
20,Bedford County,40,East Side Elementary,K8,2,1.5,3.8,NA,NA,4,2.2
20,Bedford County,53,Liberty Elementary,K8,2,2.6999999999999997,2.8,NA,NA,2,2.3
20,Bedford County,75,South Side Elementary,K8,1.2666666666666666,0.5333333333333333,3.0999999999999996,NA,NA,4,1.5
20,Bedford County,78,Thomas Magnet Elementary School,K8,4,2,4,NA,NA,NA,3.2
30,Benton County,10,Big Sandy School,K8,1.2,1.2,4,NA,NA,NA,1.5
30,Benton County,15,Briarwood School,K8,2.466666666666667,3.3333333333333335,3.7333333333333334,NA,NA,NA,2.9
30,Benton County,25,Camden Central High School,HS,2.8,1.7333333333333334,2.8666666666666663,4,4,NA,2.8
30,Benton County,27,Camden Jr High School,K8,2.7333333333333334,1.1333333333333333,4,NA,NA,NA,2.2
30,Benton County,30,Holladay Elementary,K8,1.4,2,1.6,NA,NA,NA,1.7
40,Bledsoe County,5,Bledsoe County High School,HS,1.8,2.7333333333333334,3.2,4,3,NA,2.6
40,Bledsoe County,6,Bledsoe County Middle School,K8,2.4,0.26666666666666666,2,NA,NA,NA,1.5
40,Bledsoe County,10,Cecil B Rigsby Elementary,K8,1,0.2,3.6,NA,NA,NA,0.9
40,Bledsoe County,25,Mary V Wheeler Elementary,K8,4,2.8,3,NA,NA,NA,3.4
40,Bledsoe County,30,Pikeville Elementary,K8,2.8,3.4,2.2,NA,NA,NA,3
50,Blount County,22,Carpenters Elementary School,K8,4,1.2000000000000002,3.6,NA,NA,NA,2.8
50,Blount County,23,Carpenters Middle School,K8,2.333333333333333,1.7333333333333334,3.8666666666666667,NA,NA,NA,2.2
50,Blount County,30,Eagleton Middle School,K8,2,0.5,4,NA,NA,NA,1.6
50,Blount County,43,Eagleton Elementary,K8,2.4,1.7333333333333334,3,NA,NA,2.2666666666666666,2.2
50,Blount County,45,Fairview Elementary,K8,3,0,2.5999999999999996,NA,NA,NA,1.8
50,Blount County,55,Friendsville Elementary,K8,3,3.6,2.8,NA,NA,NA,3.2
50,Blount County,61,Heritage Middle School,K8,1.4666666666666666,0.30000000000000004,2.8666666666666663,NA,NA,NA,1.1
50,Blount County,63,Heritage High School,HS,2.466666666666667,1.8666666666666667,4,3.4,1.9999999999999998,0,2.2
50,Blount County,70,Lanier Elementary,K8,2,1.6,2,NA,NA,NA,1.8
50,Blount County,84,Union Grove Middle School,K8,2.1333333333333333,0.8,2.2666666666666666,NA,NA,NA,1.6
50,Blount County,90,Mary Blount Elementary,K8,3.2,3.7,2.5999999999999996,NA,NA,4,3.4
50,Blount County,93,Middlesettlements,K8,2.5999999999999996,3.6,4,NA,NA,NA,3.1
50,Blount County,94,Montvale Elementary,K8,2,3,3.4,NA,NA,NA,2.5
50,Blount County,95,Porter Elementary,K8,3,3,2.5999999999999996,NA,NA,NA,3
50,Blount County,110,Rockford Elementary,K8,2.5999999999999996,3.5,2.6,NA,NA,4,3.1
50,Blount County,123,Samuel Everett School of Innovation,K8,NA,0,NA,NA,NA,NA,0
50,Blount County,125,Townsend Elementary,K8,2,2.5999999999999996,3.4,NA,NA,NA,2.4
50,Blount County,138,Union Grove Elementary School,K8,3,2.8,3.6,NA,NA,NA,3
50,Blount County,145,Walland Elementary School,K8,2,2,2.7333333333333334,NA,NA,NA,2.1
50,Blount County,155,William Blount High School,HS,3,0.8666666666666667,4,3.6,2.4,NA,2.4
50,Blount County,160,Prospect Elementary School,K8,4,3.466666666666667,4,NA,NA,NA,3.8
51,Alcoa,6,Alcoa Middle School,K8,2.1999999999999997,2.8,4,NA,NA,NA,2.6
51,Alcoa,10,Alcoa High School,HS,3.6,2.5999999999999996,3.6,4,3.4,NA,3.3
51,Alcoa,12,Alcoa Intermediate School,K8,3.5,3.9,3.9,NA,NA,4,3.7
52,Maryville,10,John Sevier Elementary,K8,4,2.6999999999999997,3.7,NA,NA,4,3.5
52,Maryville,15,Maryville High School,HS,3.3333333333333335,3.466666666666667,4,3.7333333333333334,3.466666666666667,NA,3.5
52,Maryville,18,Montgomery Ridge Intermediate School,K8,3.7,2.6999999999999997,3.6,NA,NA,NA,3.3
52,Maryville,20,Maryville Junior High School,K8,3.466666666666667,3.3,3.466666666666667,NA,NA,NA,3.4
52,Maryville,25,Sam Houston Elementary,K8,4,4,3.6,NA,NA,NA,4
52,Maryville,30,Foothills Elementary,K8,4,3.3333333333333335,2.8,NA,NA,4,3.6
52,Maryville,35,Coulter Grove Intermediate School,K8,3.8666666666666667,3.7,3.466666666666667,NA,NA,NA,3.8
60,Bradley County,10,Black Fox Elementary School,K8,2.5999999999999996,0.26666666666666666,3.466666666666667,NA,NA,4,2
60,Bradley County,18,Ocoee Middle School,K8,1.8666666666666667,0.7000000000000001,3.7333333333333334,NA,NA,NA,1.6
60,Bradley County,20,Bradley Central High School,HS,1,2,4,3,2.8,0,1.9
60,Bradley County,30,Charleston Elementary School,K8,2.5999999999999996,3.7333333333333334,2.1333333333333333,NA,NA,NA,3
60,Bradley County,40,Hopewell Elementary School,K8,2.5999999999999996,1.8666666666666667,1.8666666666666667,NA,NA,NA,2.2
60,Bradley County,50,Michigan Avenue Elementary School,K8,3.6,2.7333333333333334,2.8666666666666663,NA,NA,NA,3.2
60,Bradley County,55,North Lee Elementary School,K8,3.8,2,4,NA,NA,NA,3.1
60,Bradley County,60,Oak Grove Elementary School,K8,3.2,3.6,3.8666666666666667,NA,NA,NA,3.4
60,Bradley County,65,Prospect Elementary School,K8,2.8,1.3,4,NA,NA,1,2.2
60,Bradley County,70,Taylor Elementary School,K8,2,0.4,2.8,NA,NA,NA,1.4
60,Bradley County,72,Lake Forest Middle School,K8,1.8666666666666667,0.5,4,NA,NA,NA,1.5
60,Bradley County,75,Valley View Elementary School,K8,2.1999999999999997,2,2,NA,NA,NA,2.1
60,Bradley County,78,Walker Valley High School,HS,2.333333333333333,2.8,4,4,3.6,NA,3
60,Bradley County,100,Waterville Community Elementary School,K8,2,0.4,4,NA,NA,3.2,1.8
60,Bradley County,102,Park View Elementary School,K8,2.5999999999999996,3.0666666666666664,3.8666666666666667,NA,NA,NA,2.9
60,Bradley County,105,Bradley County Virtual School,K8,NA,0,4,NA,NA,NA,0.8
61,Cleveland,10,Arnold Memorial Elementary,K8,2.8,2,3.4,NA,NA,4,2.7
61,Cleveland,12,Blythe-Bower Elementary,K8,1.4,3.0999999999999996,2.1,NA,NA,4,2.3
61,Cleveland,18,Cleveland Middle,K8,1.8,3.8,3.4,NA,NA,2.4,2.7
61,Cleveland,20,Cleveland High,HS,2.2,1.3,2.3,4,2.8,1,2.1
61,Cleveland,22,E.L. Ross Elementary,K8,2.3,1.3,3,NA,NA,4,2.2
61,Cleveland,25,G.R. Stuart Elementary,K8,2.8,2.3,4,NA,NA,4,2.9
61,Cleveland,30,Mayfield Elementary,K8,2.2,2.3,2.9,NA,NA,4,2.5
70,Campbell County,3,Campbell County Comprehensive High School,HS,2,0.5333333333333333,3.6,2.4,0,NA,1.3
70,Campbell County,5,Caryville Elementary,K8,1.4,0.2,4,NA,NA,NA,1.2
70,Campbell County,40,Elk Valley Elementary,K8,1.6,1.6,4,NA,NA,NA,1.8
70,Campbell County,60,Jacksboro Elementary,K8,2.5999999999999996,3.8,3.4,NA,NA,NA,3.2
70,Campbell County,65,Jacksboro Middle School,K8,2.5999999999999996,3.7333333333333334,2.4000000000000004,NA,NA,NA,3
70,Campbell County,70,Jellico Elementary,K8,2.5999999999999996,2.8,0,NA,NA,NA,2.4
70,Campbell County,75,Jellico High School,HS,2,3.6,4,3,4,NA,3.1
70,Campbell County,77,LaFollette Elementary School,K8,1,1.9,4,NA,NA,4,1.9
70,Campbell County,80,Lafollette Middle School,K8,1,1.8,3.8,NA,NA,NA,1.6
70,Campbell County,135,Valley View Elementary,K8,2,2.8,2.5999999999999996,NA,NA,NA,2.4
70,Campbell County,140,White Oak Elementary,K8,2.4000000000000004,3.4,4,NA,NA,NA,3
70,Campbell County,150,Wynn Habersham Elementary,K8,3,3,4,NA,NA,NA,3.1
80,Cannon County,5,Auburn Elementary,K8,2,2.4000000000000004,4,NA,NA,NA,2.4
80,Cannon County,16,Cannon County High School,HS,1.4,0.4,4,2.8,3.6,NA,1.9
80,Cannon County,20,East Side Elementary,K8,4,2.5999999999999996,4,NA,NA,NA,3.4
80,Cannon County,30,Short Mountain Elementary,K8,2.4000000000000004,2,4,NA,NA,NA,2.4
80,Cannon County,35,West Side Elementary,K8,0,2,4,NA,NA,NA,1.2
80,Cannon County,40,Woodbury Grammar,K8,1.8,1.8,4,NA,NA,NA,2
80,Cannon County,45,Woodland Elementary,K8,2,1.6,4,NA,NA,NA,2
92,Hollow Rock - Bruceton,5,Central Elementary,K8,2.5999999999999996,0.6666666666666667,4,NA,NA,NA,2
92,Hollow Rock - Bruceton,10,Central High School,HS,2.4000000000000004,2.1333333333333333,3.6,4,4,NA,2.8
93,Huntingdon Special School District,5,Huntingdon Middle School,K8,2.333333333333333,0,4,NA,NA,NA,1.6
93,Huntingdon Special School District,10,Huntingdon High School,HS,2,1.4,4,4,4,NA,2.5
93,Huntingdon Special School District,15,Huntingdon Primary,K8,2.1999999999999997,1,1.8666666666666667,NA,NA,NA,1.7
94,McKenzie,5,McKenzie Elementary,K8,2.8,2,4,NA,NA,NA,2.6
94,McKenzie,10,McKenzie High School,HS,2.8666666666666663,2.466666666666667,4,3.6,4,NA,3.1
94,McKenzie,15,McKenzie Middle School,K8,2.7333333333333334,1.8666666666666667,4,NA,NA,NA,2.5
95,South Carroll,5,Clarksburg School,K8,2.5999999999999996,0.8,4,NA,NA,NA,2
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,HS,2,0.5333333333333333,4,4,4,NA,2.3
97,West Carroll Sp Dist,25,West Carroll Elementary School,K8,1.8666666666666667,2.1333333333333333,3,NA,NA,NA,2.1
100,Carter County,5,Central Elementary,K8,2,3.6,1.6,NA,NA,NA,2.6
100,Carter County,13,Cloudland Elementary School,K8,3.2,3,1.8000000000000003,NA,NA,NA,3
100,Carter County,15,Cloudland High School,HS,3,3.2,4,2,2,NA,2.9
100,Carter County,25,Hampton Elementary,K8,2,3.8,2.2,NA,NA,NA,2.7
100,Carter County,30,Hampton High School,HS,1,0.6000000000000001,3.4,3,0,NA,1
100,Carter County,35,Happy Valley Elementary,K8,4,3.6,4,NA,NA,NA,3.8
100,Carter County,40,Happy Valley High School,HS,2.5999999999999996,1.8,4,3,0,NA,2
100,Carter County,43,Happy Valley Middle School,K8,2.7333333333333334,3.3333333333333335,2.8,NA,NA,NA,3
100,Carter County,45,Hunter Elementary,K8,1.8,3.8,2.4000000000000004,NA,NA,NA,2.7
100,Carter County,50,Keenburg Elementary,K8,2.5999999999999996,3,1,NA,NA,NA,2.6
100,Carter County,55,Little Milligan,K8,2,4,1.6,NA,NA,NA,2.8
100,Carter County,85,Unaka Elementary,K8,2,2,3.4,NA,NA,NA,2.1
100,Carter County,90,Unaka High School,HS,3.2,3.8,3.4,4,0,NA,2.8
100,Carter County,95,Valley Forge Elementary,K8,3,4,2.8,NA,NA,NA,3.4
101,Elizabethton,10,East Side Elementary,K8,2.5999999999999996,3.8,4,NA,NA,NA,3.2
101,Elizabethton,15,Elizabethton High School,HS,2.2666666666666666,0.13333333333333333,2.4000000000000004,2.5999999999999996,4,NA,2
101,Elizabethton,20,Harold McCormick Elementary,K8,2.8,1.5333333333333334,2,NA,NA,NA,2.2
101,Elizabethton,25,T A Dugger Junior High School,K8,3.2,2.1333333333333333,2.2666666666666666,NA,NA,NA,2.7
101,Elizabethton,30,West Side Elementary,K8,4,2.4,3.8,NA,NA,NA,3.3
110,Cheatham County,5,Ashland City Elementary,K8,1.6,2,3.8666666666666667,NA,NA,4,2.2
110,Cheatham County,10,Cheatham Co Central,HS,2,1.8666666666666667,2.533333333333333,4,2,NA,2.1
110,Cheatham County,14,Cheatham Middle School,K8,2.333333333333333,1.8666666666666667,4,NA,NA,NA,2.3
110,Cheatham County,15,East Cheatham Elementary,K8,2,0.4,2.4000000000000004,NA,NA,NA,1.4
110,Cheatham County,18,Harpeth Middle School,K8,2.7333333333333334,2,4,NA,NA,NA,2.6
110,Cheatham County,19,Harpeth High School,HS,2.1999999999999997,3.0666666666666664,2,4,4,NA,2.9
110,Cheatham County,20,Kingston Springs Elementary,K8,4,4,4,NA,NA,NA,4
110,Cheatham County,25,Pegram Elementary,K8,3,0,4,NA,NA,NA,1.9
110,Cheatham County,30,Pleasant View Elementary,K8,4,2,3.2,NA,NA,NA,3.1
110,Cheatham County,32,Sycamore Middle School,K8,2.466666666666667,3.466666666666667,2.2666666666666666,NA,NA,NA,2.8
110,Cheatham County,33,Sycamore High School,HS,3,0.8,3.466666666666667,2.1999999999999997,3,NA,2.3
110,Cheatham County,35,West Cheatham Elementary,K8,2.5999999999999996,0.6000000000000001,3.7333333333333334,NA,NA,NA,1.9
120,Chester County,5,Chester County Middle School,K8,3.8666666666666667,3.7333333333333334,3.1333333333333333,NA,NA,NA,3.7
120,Chester County,8,Chester County High School,HS,2.8,2.1999999999999997,2.1333333333333333,3.6,3.2,NA,2.7
120,Chester County,10,Chester County Junior High School,K8,2.8666666666666663,2.2666666666666666,1.5333333333333334,NA,NA,NA,2.5
120,Chester County,15,East Chester Elementary School,K8,4,0.4,2.7333333333333334,NA,NA,NA,2.4
120,Chester County,25,Jacks Creek Elementary,K8,NA,2.5999999999999996,4,NA,NA,NA,2.9
120,Chester County,30,W Chester Elementary School,K8,4,2,2.533333333333333,NA,NA,NA,3.1
130,Claiborne County,35,Clairfield Elementary,K8,1,2,4,NA,NA,NA,1.7
130,Claiborne County,45,Ellen Myers Primary,K8,1,0.8,3.2,NA,NA,NA,1.1
130,Claiborne County,50,Forge Ridge School,K8,1,2.5999999999999996,2.4000000000000004,NA,NA,NA,1.8
130,Claiborne County,67,H. Y. Livesay Middle School,K8,4,3.6,4,NA,NA,NA,3.8
130,Claiborne County,90,Midway Elementary,K8,2.4000000000000004,2,2.8,NA,NA,NA,2.3
130,Claiborne County,93,Cumberland Gap High School,HS,2.5999999999999996,1.9999999999999998,4,4,3.4,NA,2.8
130,Claiborne County,95,Powell Valley Elementary,K8,2,1.8,3.8,NA,NA,NA,2.1
130,Claiborne County,105,Soldiers Memorial Middle School,K8,2.2,1.5333333333333334,4,NA,NA,NA,2.1
130,Claiborne County,110,Claiborne High School,HS,2.5999999999999996,1.5333333333333334,3.8666666666666667,3,3,NA,2.5
130,Claiborne County,115,Springdale Elementary,K8,4,3.8,4,NA,NA,NA,3.9
130,Claiborne County,117,Tazewell-New Tazewell Elementary,K8,1.6,0.8,3.8,NA,NA,NA,1.5
140,Clay County,5,Celina K-8,K8,1.2000000000000002,1.2000000000000002,4,NA,NA,NA,1.5
140,Clay County,12,Clay County High School,HS,2.8,3.8,2.2,4,2.4,NA,3
140,Clay County,20,Hermitage Springs Elementary School,K8,2.5999999999999996,0.4,4,NA,NA,NA,1.9
150,Cocke County,5,Bridgeport Elementary,K8,2.5999999999999996,2,2.4000000000000004,NA,NA,NA,2.3
150,Cocke County,10,Centerview Elementary,K8,2,0.6000000000000001,2.4000000000000004,NA,NA,NA,1.5
150,Cocke County,15,Cocke Co High School,HS,2.1333333333333333,0.26666666666666666,0.8,2,3,NA,1.6
150,Cocke County,25,Cosby Elementary,K8,2.4,1.1333333333333333,2.2666666666666666,NA,NA,NA,1.9
150,Cocke County,27,Cosby High School,HS,1.4,0.4,0.8,4,1.2,NA,1.1
150,Cocke County,30,Del Rio Elementary,K8,2,3.4,1,NA,NA,NA,2.5
150,Cocke County,35,Edgemont Elementary,K8,1.1333333333333333,1.7333333333333334,1.1333333333333333,NA,NA,NA,1.4
150,Cocke County,40,Grassy Fork Elementary,K8,4,1,3.4,NA,NA,NA,2.7
150,Cocke County,52,Northwest Elementary,K8,0.13333333333333333,0.26666666666666666,1.1333333333333333,NA,NA,NA,0.3
150,Cocke County,55,Parrottsville Elementary,K8,1.6,1.2666666666666666,1.4,NA,NA,NA,1.4
150,Cocke County,65,Smoky Mountain Elementary,K8,2.5999999999999996,3,4,NA,NA,NA,2.9
151,Newport,5,Newport Grammar School,K8,2.5999999999999996,1,2.1333333333333333,NA,NA,NA,1.9
160,Coffee County,5,Coffee County Central High School,HS,1.7333333333333334,0.30000000000000004,2.5999999999999996,3.8666666666666667,2.5999999999999996,1,1.7
160,Coffee County,10,Coffee County Middle School,K8,1.6,0.30000000000000004,1.8666666666666667,NA,NA,NA,1.1
160,Coffee County,15,East Coffee Elementary,K8,3.2,1.4,3.4,NA,NA,NA,2.5
160,Coffee County,20,Hickerson Elementary,K8,2.5999999999999996,1,2.8,NA,NA,NA,2
160,Coffee County,25,Hillsboro Elementary,K8,2.5999999999999996,3.7333333333333334,3.1333333333333333,NA,NA,NA,3.1
160,Coffee County,35,New Union Elementary,K8,3.2,0.9333333333333335,3.1333333333333333,NA,NA,4,2.5
160,Coffee County,40,North Coffee Elementary,K8,3,2,3.4,NA,NA,NA,2.6
160,Coffee County,50,Deerfield Elementary School,K8,3,1.8,1.4,NA,NA,NA,2.4
160,Coffee County,55,Coffee County Raider Academy,K8,2.2666666666666666,3.5,1.6,NA,NA,NA,2.7
161,Manchester,5,College Street Elementary,K8,2.4000000000000004,2.2,2.2666666666666666,NA,NA,2.8,2.4
161,Manchester,10,Westwood Elementary,K8,3.8666666666666667,2.1,4,NA,NA,3,3.2
161,Manchester,15,Westwood Middle School,K8,1.9,0,3,NA,NA,NA,1.3
162,Tullahoma,5,Bel Aire Elementary,K8,1.4,2.2666666666666666,1.4,NA,NA,NA,1.7
162,Tullahoma,15,East Middle School,K8,1.8666666666666667,0.4,3.7333333333333334,NA,NA,NA,1.5
162,Tullahoma,20,East Lincoln Elementary,K8,1,1.8666666666666667,3.8666666666666667,NA,NA,NA,1.6
162,Tullahoma,23,Jack T Farrar Elementary,K8,1.8000000000000003,2,2,NA,NA,NA,1.9
162,Tullahoma,25,Robert E Lee Elementary,K8,2.5999999999999996,3,4,NA,NA,NA,2.9
162,Tullahoma,35,Tullahoma High School,HS,3.3333333333333335,3.466666666666667,2,2,3.4,NA,3.2
162,Tullahoma,40,West Middle School,K8,1,0.6666666666666667,2.4000000000000004,NA,NA,NA,1
170,Crockett County,3,Crockett County High School,HS,1.1333333333333333,0.4,3.8666666666666667,4,2.4,0,1.5
170,Crockett County,12,Crockett County Middle School,K8,2.7333333333333334,2.2,3.1333333333333333,NA,NA,3,2.6
170,Crockett County,20,Friendship Elementary,K8,2,3,4,NA,NA,NA,2.6
170,Crockett County,25,Gadsden Elementary,K8,2,3,2.5999999999999996,NA,NA,NA,2.5
170,Crockett County,40,Maury City Elementary,K8,1.7999999999999998,1.4,4,NA,NA,4,2.1
171,Alamo,5,Alamo Elementary,K8,3.6,3.9,3.2,NA,NA,4,3.7
172,Bells,5,Bells Elementary,K8,3.8,2.1,3.8,NA,NA,3,3.1
180,Cumberland County,8,Frank P. Brown Elementary,K8,2.8,1.2000000000000002,2.2,NA,NA,NA,2.1
180,Cumberland County,10,Homestead Elementary School,K8,2.8,3.1333333333333333,4,NA,NA,NA,3.1
180,Cumberland County,15,Crab Orchard Elementary,K8,2.2,0.6000000000000001,3.4,NA,NA,NA,1.7
180,Cumberland County,25,Cumberland County High School,HS,2.5999999999999996,0.4,4,2.5999999999999996,4,NA,2.4
180,Cumberland County,33,Glenn Martin Elementary,K8,3,3.6,2,NA,NA,3.8,3.2
180,Cumberland County,53,North Cumberland Elementary,K8,1.8,0.8,2,NA,NA,NA,1.4
180,Cumberland County,55,Pine View Elementary,K8,3,2.5999999999999996,2.5999999999999996,NA,NA,NA,2.8
180,Cumberland County,60,Pleasant Hill Elementary,K8,2,2.5999999999999996,2.4000000000000004,NA,NA,NA,2.3
180,Cumberland County,73,South Cumberland Elementary,K8,3.4,3.3333333333333335,3.7333333333333334,NA,NA,NA,3.4
180,Cumberland County,74,Stone Elementary,K8,2.466666666666667,3.8,3,NA,NA,4,3.1
180,Cumberland County,79,Stone Memorial High School,HS,2.8666666666666663,2,3,3.8,2.8,0.2,2.4
180,Cumberland County,85,The Phoenix School,HS,2,0.4,4,4,2,NA,1.8
190,Davidson County,1,A. Z. Kelley Elementary,K8,1.9,2.1,4,NA,NA,3,2.3
190,Davidson County,3,MNPS Virtual School,K8,NA,2,4,NA,NA,NA,2.4
190,Davidson County,5,Alex Green Elementary,K8,1.8,2,4,NA,NA,2.2,2.1
190,Davidson County,10,Amqui Elementary,K8,2.1333333333333333,3.8666666666666667,4,NA,NA,3.8666666666666667,3.1
190,Davidson County,15,Andrew Jackson Elementary,K8,2.5999999999999996,3.8666666666666667,4,NA,NA,2.2,3.1
190,Davidson County,20,Antioch High School,HS,1,0.1,4,2.6,2.5999999999999996,0,1.4
190,Davidson County,23,Antioch Middle,K8,1,2,4,NA,NA,1.6,1.7
190,Davidson County,25,Apollo Middle,K8,0.2,0.1,2.4000000000000004,NA,NA,0.9,0.5
190,Davidson County,35,Moses McKissack Middle,K8,1.1333333333333333,0.4,4,NA,NA,1.1333333333333333,1.2
190,Davidson County,40,Bellevue Middle,K8,1.9,0.4,2.3,NA,NA,0.8,1.3
190,Davidson County,45,Bellshire Elementary,K8,2,2.8666666666666663,2,NA,NA,3,2.4
190,Davidson County,53,Nashville Big Picture High School,K8,3.2,1.8666666666666667,3.6,NA,NA,NA,2.7
190,Davidson County,70,Buena Vista Elementary,K8,2,2.1333333333333333,3.7333333333333334,NA,NA,NA,2.2
190,Davidson County,77,Cane Ridge High School,HS,1,0.2,3.2,2.1,2,0.30000000000000004,1.2
190,Davidson County,80,Ida B. Wells Elementary,K8,1.2000000000000002,1.3,4,NA,NA,3.1333333333333333,1.7
190,Davidson County,82,Cane Ridge Elementary,K8,3.1333333333333333,4,4,NA,NA,3.5,3.6
190,Davidson County,105,Chadwell Elementary,K8,1.8,2.1,4,NA,NA,2.8666666666666663,2.2
190,Davidson County,110,Charlotte Park Elementary,K8,2.1333333333333333,2,2.1,NA,NA,4,2.3
190,Davidson County,115,Eagle View Elementary School,K8,NA,3.7333333333333334,NA,NA,NA,4,3.8
190,Davidson County,120,Cockrill Elementary,K8,1.2000000000000002,2.8,3.8,NA,NA,1,2
190,Davidson County,130,Cole Elementary,K8,1.8,2.1,4,NA,NA,3.8,2.3
190,Davidson County,140,Hattie Cotton Elementary,K8,2,3,2.6,NA,NA,4,2.6
190,Davidson County,145,Crieve Hall Elementary,K8,3.4,3,3.9,NA,NA,3.9,3.4
190,Davidson County,148,Croft Middle,K8,1.2000000000000002,0.1,1.2000000000000002,NA,NA,0.9,0.8
190,Davidson County,150,Cumberland Elementary,K8,1.2000000000000002,4,4,NA,NA,NA,2.6
190,Davidson County,160,Dan Mills Elementary,K8,3.2,3.7333333333333334,2.6999999999999997,NA,NA,3,3.3
190,Davidson County,165,Dodson Elementary,K8,1,2.2,4,NA,NA,2.8666666666666663,1.9
190,Davidson County,175,Donelson Middle,K8,1,3.5,3,NA,NA,0.9,2.1
190,Davidson County,180,DuPont Elementary,K8,2.8,1.2000000000000002,4,NA,NA,3,2.4
190,Davidson County,185,DuPont Tyler Middle,K8,0.9,0.4,4,NA,NA,4,1.3
190,Davidson County,190,DuPont Hadley Middle,K8,0.9,2,4,NA,NA,1.2000000000000002,1.6
190,Davidson County,195,Eakin Elementary,K8,3.2,3.7,4,NA,NA,4,3.5
190,Davidson County,203,East Nashville Magnet High School,HS,1.1333333333333333,0.26666666666666666,2.4000000000000004,4,2.8,NA,1.5
190,Davidson County,208,Thomas A. Edison Elementary,K8,1.8666666666666667,3.4,4,NA,NA,2.9,2.7
190,Davidson County,220,Fall-Hamilton Elementary,K8,1,0.6666666666666667,3.9,NA,NA,2.2666666666666666,1.3
190,Davidson County,235,Gateway Elementary,K8,2.2666666666666666,4,2.533333333333333,NA,NA,4,3.1
190,Davidson County,240,Glencliff Elementary,K8,0.8666666666666667,3.8,4,NA,NA,1.7,2.3
