system,system_name,school,school_name,pool,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,final_score,final_grade
60,Bradley County,10,Black Fox Elementary School,K8,2.5999999999999996,0.26666666666666666,3.466666666666667,NA,NA,4,2,C
60,Bradley County,18,Ocoee Middle School,K8,1.8666666666666667,0.7000000000000001,3.7333333333333334,NA,NA,NA,1.6,C
60,Bradley County,20,Bradley Central High School,HS,1,2,4,3,2.8,0,1.9,C
60,Bradley County,30,Charleston Elementary School,K8,2.5999999999999996,3.7333333333333334,2.1333333333333333,NA,NA,NA,3,B
60,Bradley County,40,Hopewell Elementary School,K8,2.5999999999999996,1.8666666666666667,1.8666666666666667,NA,NA,NA,2.2,B
60,Bradley County,50,Michigan Avenue Elementary School,K8,3.6,2.7333333333333334,2.8666666666666663,NA,NA,NA,3.2,A
60,Bradley County,55,North Lee Elementary School,K8,3.8,2,4,NA,NA,NA,3.1,A
60,Bradley County,60,Oak Grove Elementary School,K8,3.2,3.6,3.8666666666666667,NA,NA,NA,3.4,A
60,Bradley County,65,Prospect Elementary School,K8,2.8,1.3,4,NA,NA,1,2.2,B
60,Bradley County,70,Taylor Elementary School,K8,2,0.4,2.8,NA,NA,NA,1.4,C
60,Bradley County,72,Lake Forest Middle School,K8,1.8666666666666667,0.5,4,NA,NA,NA,1.5,C
60,Bradley County,75,Valley View Elementary School,K8,2.1999999999999997,2,2,NA,NA,NA,2.1,B
60,Bradley County,78,Walker Valley High School,HS,2.333333333333333,2.8,4,4,3.6,NA,3,B
60,Bradley County,100,Waterville Community Elementary School,K8,2,0.4,4,NA,NA,3.2,1.8,C
60,Bradley County,102,Park View Elementary School,K8,2.5999999999999996,3.0666666666666664,3.8666666666666667,NA,NA,NA,2.9,B
60,Bradley County,105,Bradley County Virtual School,K8,NA,0,4,NA,NA,NA,0.8,D
61,Cleveland,10,Arnold Memorial Elementary,K8,2.8,2,3.4,NA,NA,4,2.7,B
61,Cleveland,12,Blythe-Bower Elementary,K8,1.4,3.0999999999999996,2.1,NA,NA,4,2.3,B
61,Cleveland,18,Cleveland Middle,K8,1.8,3.8,3.4,NA,NA,2.4,2.7,B
61,Cleveland,20,Cleveland High,HS,2.2,1.3,2.3,4,2.8,1,2.1,B
61,Cleveland,22,E.L. Ross Elementary,K8,2.3,1.3,3,NA,NA,4,2.2,B
61,Cleveland,25,G.R. Stuart Elementary,K8,2.8,2.3,4,NA,NA,4,2.9,B
61,Cleveland,30,Mayfield Elementary,K8,2.2,2.3,2.9,NA,NA,4,2.5,B
70,Campbell County,3,Campbell County Comprehensive High School,HS,2,0.5333333333333333,3.6,2.4,0,NA,1.3,C
70,Campbell County,5,Caryville Elementary,K8,1.4,0.2,4,NA,NA,NA,1.2,C
70,Campbell County,40,Elk Valley Elementary,K8,1.6,1.6,4,NA,NA,NA,1.8,C
70,Campbell County,60,Jacksboro Elementary,K8,2.5999999999999996,3.8,3.4,NA,NA,NA,3.2,A
70,Campbell County,65,Jacksboro Middle School,K8,2.5999999999999996,3.7333333333333334,2.4000000000000004,NA,NA,NA,3,B
70,Campbell County,70,Jellico Elementary,K8,2.5999999999999996,2.8,0,NA,NA,NA,2.4,B
70,Campbell County,75,Jellico High School,HS,2,3.6,4,3,4,NA,3.1,A
70,Campbell County,77,LaFollette Elementary School,K8,1,1.9,4,NA,NA,4,1.9,C
70,Campbell County,80,Lafollette Middle School,K8,1,1.8,3.8,NA,NA,NA,1.6,C
70,Campbell County,135,Valley View Elementary,K8,2,2.8,2.5999999999999996,NA,NA,NA,2.4,B
70,Campbell County,140,White Oak Elementary,K8,2.4000000000000004,3.4,4,NA,NA,NA,3,B
70,Campbell County,150,Wynn Habersham Elementary,K8,3,3,4,NA,NA,NA,3.1,A
80,Cannon County,5,Auburn Elementary,K8,2,2.4000000000000004,4,NA,NA,NA,2.4,B
80,Cannon County,16,Cannon County High School,HS,1.4,0.4,4,2.8,3.6,NA,1.9,C
80,Cannon County,20,East Side Elementary,K8,4,2.5999999999999996,4,NA,NA,NA,3.4,A
80,Cannon County,30,Short Mountain Elementary,K8,2.4000000000000004,2,4,NA,NA,NA,2.4,B
80,Cannon County,35,West Side Elementary,K8,0,2,4,NA,NA,NA,1.2,C
80,Cannon County,40,Woodbury Grammar,K8,1.8,1.8,4,NA,NA,NA,2,C
80,Cannon County,45,Woodland Elementary,K8,2,1.6,4,NA,NA,NA,2,C
92,Hollow Rock - Bruceton,5,Central Elementary,K8,2.5999999999999996,0.6666666666666667,4,NA,NA,NA,2,C
92,Hollow Rock - Bruceton,10,Central High School,HS,2.4000000000000004,2.1333333333333333,3.6,4,4,NA,2.8,B
93,Huntingdon Special School District,5,Huntingdon Middle School,K8,2.333333333333333,0,4,NA,NA,NA,1.6,C
93,Huntingdon Special School District,10,Huntingdon High School,HS,2,1.4,4,4,4,NA,2.5,B
93,Huntingdon Special School District,15,Huntingdon Primary,K8,2.1999999999999997,1,1.8666666666666667,NA,NA,NA,1.7,C
94,McKenzie,5,McKenzie Elementary,K8,2.8,2,4,NA,NA,NA,2.6,B
94,McKenzie,10,McKenzie High School,HS,2.8666666666666663,2.466666666666667,4,3.6,4,NA,3.1,A
94,McKenzie,15,McKenzie Middle School,K8,2.7333333333333334,1.8666666666666667,4,NA,NA,NA,2.5,B
95,South Carroll,5,Clarksburg School,K8,2.5999999999999996,0.8,4,NA,NA,NA,2,C
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,HS,2,0.5333333333333333,4,4,4,NA,2.3,B
97,West Carroll Sp Dist,25,West Carroll Elementary School,K8,1.8666666666666667,2.1333333333333333,3,NA,NA,NA,2.1,B
100,Carter County,5,Central Elementary,K8,2,3.6,1.6,NA,NA,NA,2.6,B
100,Carter County,13,Cloudland Elementary School,K8,3.2,3,1.8000000000000003,NA,NA,NA,3,B
100,Carter County,15,Cloudland High School,HS,3,3.2,4,2,1,NA,2.7,B
100,Carter County,25,Hampton Elementary,K8,2,3.8,2.2,NA,NA,NA,2.7,B
100,Carter County,30,Hampton High School,HS,1,0.6000000000000001,3.4,3,0,NA,1,D
100,Carter County,35,Happy Valley Elementary,K8,4,3.6,4,NA,NA,NA,3.8,A
100,Carter County,40,Happy Valley High School,HS,2.5999999999999996,1.8,4,3,0,NA,2,C
100,Carter County,43,Happy Valley Middle School,K8,2.7333333333333334,3.3333333333333335,2.8,NA,NA,NA,3,B
100,Carter County,45,Hunter Elementary,K8,1.8,3.8,2.4000000000000004,NA,NA,NA,2.7,B
100,Carter County,50,Keenburg Elementary,K8,2.5999999999999996,3,1,NA,NA,NA,2.6,B
100,Carter County,55,Little Milligan,K8,2,4,1.6,NA,NA,NA,2.8,B
100,Carter County,85,Unaka Elementary,K8,2,2,3.4,NA,NA,NA,2.1,B
100,Carter County,90,Unaka High School,HS,3.2,3.8,3.4,4,0,NA,2.8,B
100,Carter County,95,Valley Forge Elementary,K8,3,4,2.8,NA,NA,NA,3.4,A
101,Elizabethton,10,East Side Elementary,K8,2.5999999999999996,3.8,4,NA,NA,NA,3.2,A
101,Elizabethton,15,Elizabethton High School,HS,2.2666666666666666,0.13333333333333333,2.4000000000000004,2.5999999999999996,4,NA,2,C
101,Elizabethton,20,Harold McCormick Elementary,K8,2.8,1.5333333333333334,2,NA,NA,NA,2.2,B
101,Elizabethton,25,T A Dugger Junior High School,K8,3.2,2.1333333333333333,2.2666666666666666,NA,NA,NA,2.7,B
