system,school,pool,designation_ineligible,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,targeted_support_Native,targeted_support_Asian,targeted_support_Black,targeted_support_BHN,targeted_support_ED,targeted_support_EL,targeted_support_Hispanic,targeted_support_HPI,targeted_support_SWD,targeted_support_White,targeted_support_subgroups,targeted_support,final_average
80,20,K8,0,3.6,2.5999999999999996,4,,,,,,,,0,,,,,0,0,0,3.2
80,30,K8,0,2.4000000000000004,2,4,,,,,,,,0,,,,,0,0,0,2.4
80,35,K8,0,0,2,4,,,,,,,,,,,,,1,1,1,1.2
80,40,K8,0,1.8,1.8,4,,,,,,,,0,,,,0,0,0,0,2
80,45,K8,0,2,1.6,4,,,,,,,,0,,,,,0,0,0,2
92,5,K8,0,2.5999999999999996,0.6666666666666667,4,,,,,,,,0,,,,,0,0,0,2
92,10,HS,0,2.4000000000000004,2.1333333333333333,3.6,4,4,,,,,,0,,,,,0,0,0,2.8
93,5,K8,0,2.333333333333333,0,4,,,,,,0,0,0,,,,0,0,0,0,1.6
93,10,HS,0,2,1.4,4,4,4,,,,,,,,,,,0,0,0,2.5
93,15,K8,0,2.1999999999999997,1,1.8666666666666667,,,,,,,,1,,,,,0,1,1,1.7
94,5,K8,0,2.8,2,4,,,,,,0,0,0,,,,,0,0,0,2.6
94,10,HS,0,2.7333333333333334,2.466666666666667,4,3.6,4,,,,,,0,,,,,0,0,0,3.1
94,15,K8,0,2.7333333333333334,1.8666666666666667,4,,,,,,0,0,0,,,,0,0,0,0,2.5
95,5,K8,0,2.5999999999999996,0.8,4,,,,,,,,0,,,,,0,0,0,2
97,5,HS,0,2,0.5333333333333333,4,3.6,4,,,,,,0,,,,,0,0,0,2.2
97,25,K8,0,1.8666666666666667,2.1333333333333333,3.1333333333333333,,,,,,0,0,0,,,,0,0,0,0,2.1
100,5,K8,0,2,3.6,1.6,,,,,,,,0,,,,,0,0,0,2.6
100,13,K8,0,3.2,3,1.8000000000000003,,,,,,,,0,,,,,0,0,0,3
100,15,HS,0,3,3.2,4,2,2,,,,,,,,,,,0,0,0,2.9
100,25,K8,0,2,3.8,2.2,,,,,,,,0,,,,0,0,0,0,2.7
100,30,HS,0,1.4,0.6000000000000001,3.4,3,0,,,,,,0,,,,,1,1,1,1.2
100,35,K8,0,4,3.6,4,,,,,,,,0,,,,0,0,0,0,3.8
100,40,HS,0,2.5999999999999996,1.8,4,3,0,,,,,,0,,,,,0,0,0,2
100,43,K8,0,2.7333333333333334,3.3333333333333335,2.8,,,,,,,0,0,,,,0,0,0,0,3
100,45,K8,0,1.8,3.8,2.4000000000000004,,,,,,,,0,,,,0,0,0,0,2.7
100,50,K8,0,2.5999999999999996,3,1,,,,,,,,0,,,,0,0,0,0,2.6
100,55,K8,0,2,4,1.6,,,,,,,,0,,,,,0,0,0,2.8
100,85,K8,0,2,2,3.4,,,,,,,,0,,,,,0,0,0,2.1
100,90,HS,0,3,3.8,3.4,4,0,,,,,,0,,,,,0,0,0,2.7
100,95,K8,0,3,4,2.8,,,,,,,,0,,,,,0,0,0,3.4
101,10,K8,0,2.5999999999999996,3.8,4,,,,,,,,0,,,,,0,0,0,3.2
101,15,HS,0,2.2666666666666666,0.13333333333333333,2.4000000000000004,2.5999999999999996,4,,,,,,0,,,,,0,0,0,2
101,20,K8,0,2.8,1.5333333333333334,2,,,,,,,,0,,,,0,0,0,0,2.2
101,25,K8,0,3.2,2.1333333333333333,2.2666666666666666,,,,,,0,0,0,,,,0,0,0,0,2.7
101,30,K8,0,4,2.4,3.8,,,,,,,,0,,,,,0,0,0,3.3
110,5,K8,0,1.4,2,3.9,,,4,,,,0,0,,,,,0,0,0,2.1
110,10,HS,0,2,1.8666666666666667,2.533333333333333,4,2,,,,,,0,,,,,0,0,0,2.1
110,14,K8,0,2.333333333333333,1.8666666666666667,4,,,,,,0,0,0,,0,,0,0,0,0,2.3
110,15,K8,0,2,0.4,2.4000000000000004,,,,,,,,0,,,,,0,0,0,1.4
110,18,K8,0,2.7333333333333334,2,4,,,,,,,0,0,,,,0,0,0,0,2.6
110,19,HS,0,2.1999999999999997,3.0666666666666664,2,4,3.2,,,,,,0,,,,,0,0,0,2.7
110,20,K8,0,4,4,4,,,,,,,,,,,,,0,0,0,4
110,25,K8,0,3,0,4,,,,,,,,,,,,,0,0,0,1.9
110,30,K8,0,3.2,2,3,,,,,,,,0,,,,,0,0,0,2.7
110,32,K8,0,2.466666666666667,3.466666666666667,2.2666666666666666,,,,,,,0,0,,0,,0,0,0,0,2.8
110,33,HS,0,3,0.8,3.466666666666667,2.1999999999999997,3,,,,,,0,,,,,0,0,0,2.3
110,35,K8,0,2.5999999999999996,0.6000000000000001,3.7333333333333334,,,,,,,,0,,,,,0,0,0,1.9
120,5,K8,0,3.8666666666666667,3.7333333333333334,3.1333333333333333,,,,,,0,0,0,,,,0,0,0,0,3.7
120,8,HS,0,2.5999999999999996,2.1999999999999997,2.1333333333333333,3.6,3.2,,,,,,0,,,,,0,0,0,2.6
120,10,K8,0,2.8666666666666663,2.2666666666666666,1.5333333333333334,,,,,,0,0,0,,,,0,0,0,0,2.5
120,15,K8,0,3.2,0.4,2.7333333333333334,,,,,,,0,0,,,,,0,0,0,2
120,25,K8,0,,2.5999999999999996,4,,,,,,,,,,,,,,0,0,2.9
120,30,K8,0,4,2,2.533333333333333,,,,,,,,,,,,,0,0,0,3.1
130,35,K8,0,1,2,4,,,,,,,,0,,,,,0,0,0,1.7
130,45,K8,0,1.4,0.8,3.2,,,,,,,,0,,,,,1,1,1,1.3
130,50,K8,0,1,2.5999999999999996,2.4000000000000004,,,,,,,,0,,,,,0,0,0,1.8
130,67,K8,0,3.6,3.6,4,,,,,,,,0,,,,0,0,0,0,3.6
130,90,K8,0,2.4000000000000004,2,2.8,,,,,,,,0,,,,,0,0,0,2.3
130,93,HS,0,2.5999999999999996,1.9999999999999998,4,4,3.4,,,,,,0,,,,,0,0,0,2.8
130,95,K8,0,2,1.8,3.8,,,,,,,,0,,,,0,0,0,0,2.1
130,105,K8,0,2.2,1.5333333333333334,4,,,,,,,,0,,,,0,0,0,0,2.1
130,110,HS,0,2.5999999999999996,1.5333333333333334,3.8666666666666667,3,3,,,,,,0,,,,,0,0,0,2.5
130,115,K8,0,3.6,3.8,4,,,,,,,,0,,,,0,0,0,0,3.7
130,117,K8,0,1.6,0.8,3.8,,,,,,,,0,,,,1,0,1,1,1.5
140,5,K8,0,1.2000000000000002,1.2000000000000002,3.8666666666666667,,,,,,,,0,,,,0,1,1,1,1.5
140,12,HS,0,2.8,3.8,2.2,4,2.4,,,,,,0,,,,,0,0,0,3
140,20,K8,0,2.5999999999999996,0.4,4,,,,,,,,0,,,,,0,0,0,1.9
150,5,K8,0,2.5999999999999996,2,2.4000000000000004,,,,,,,,0,,,,,0,0,0,2.3
150,10,K8,0,2,0.6000000000000001,2.4000000000000004,,,,,,,,0,,,,,1,1,1,1.5
150,15,HS,0,2.1333333333333333,0.26666666666666666,0.8,2,3,,,,,,0,,,,,0,0,0,1.6
150,25,K8,0,2.4,1.1333333333333333,2.2666666666666666,,,,,,,,0,,,,1,0,1,1,1.9
150,27,HS,0,1,0.4,0.8,4,1.2,,,,,,0,,,,,1,1,1,1
150,30,K8,0,2,3.4,1,,,,,,,,0,,,,,0,0,0,2.5
150,35,K8,0,1.1333333333333333,1.7333333333333334,1.1333333333333333,,,,,,,0,0,,,,0,0,0,0,1.4
150,40,K8,0,4,1,3.4,,,,,,,,,,,,,0,0,0,2.7
150,52,K8,0,0.13333333333333333,0.26666666666666666,1.1333333333333333,,,,,,,1,1,,,,1,1,4,1,0.3
150,55,K8,0,1.6,1.2666666666666666,1.4,,,,,,,,1,,,,0,1,2,1,1.4
150,65,K8,0,2.5999999999999996,3,4,,,,,,,,0,,,,,0,0,0,2.9
151,5,K8,0,2.5999999999999996,1,2.1333333333333333,,,,,,0,0,0,,,,0,0,0,0,1.9
160,5,HS,0,1.7333333333333334,0.30000000000000004,2.5999999999999996,3.8666666666666667,2.7333333333333334,1,,,,0,0,,,,0,0,0,0,1.7
160,10,K8,0,1.6,0.30000000000000004,1.8666666666666667,,,,,,,0,1,,0,,1,1,3,1,1.1
160,15,K8,0,3.2,1.4,3.4,,,,,,,,0,,,,,0,0,0,2.5
160,20,K8,0,2.5999999999999996,1,2.8,,,,,,,,0,,,,,0,0,0,2
160,25,K8,0,2.5999999999999996,3.7333333333333334,3.1333333333333333,,,,,,,,0,,,,,0,0,0,3.1
160,35,K8,0,3.2,0.9333333333333335,3.1333333333333333,,,4,,,,,0,,,,,0,0,0,2.5
160,40,K8,0,3,2,3.4,,,,,,,,0,,,,,0,0,0,2.6
160,50,K8,0,3,1.8,1.4,,,,,,,,0,,,,,0,0,0,2.4
160,55,K8,0,2.2666666666666666,3.5,1.6,,,,,,,0,0,,,,0,0,0,0,2.7
161,5,K8,0,2.4000000000000004,2.2,2.2666666666666666,,,2.8,,,,0,0,,,,,0,0,0,2.4
161,10,K8,0,3.8666666666666667,2.1,4,,,3,,,,0,0,0,0,,,0,0,0,3.2
161,15,K8,0,1.9,0,3,,,,,,,0,0,,0,,0,1,1,1,1.3
162,5,K8,0,1.4,2.2666666666666666,1.4,,,,,,,,0,,,,,1,1,1,1.7
162,15,K8,0,1.8666666666666667,0.4,3.7333333333333334,,,,,,0,0,0,,,,0,0,0,0,1.5
162,20,K8,0,1,1.8666666666666667,3.8666666666666667,,,,,,0,0,0,,,,,0,0,0,1.6
162,23,K8,0,1.8000000000000003,2,2,,,,,,,0,0,,,,,0,0,0,1.9
162,25,K8,0,2.5999999999999996,3,4,,,,,,,,0,,,,0,0,0,0,2.9
162,35,HS,0,3.3333333333333335,3.466666666666667,2,2,3.4,,,,,0,0,,,,,0,0,0,3.2
162,40,K8,0,1,0.6666666666666667,2.4000000000000004,,,,,,0,1,0,,,,0,1,2,1,1
170,3,HS,0,1.1333333333333333,0.4,3.8666666666666667,4,2.5999999999999996,0,,,0,0,0,,,,,0,0,0,1.5
170,12,K8,0,2.7333333333333334,2.2,3.1333333333333333,,,3,,,0,0,0,,0,,0,0,0,0,2.6
170,20,K8,0,2.4000000000000004,3,4,,,,,,,,0,,,,,0,0,0,2.8
170,25,K8,0,2,3,2.5999999999999996,,,,,,,,,,,,,0,0,0,2.5
170,40,K8,0,1.7999999999999998,1.4,4,,,4,,,,,0,,,,,0,0,0,2.1
171,5,K8,0,3.6,3.9,3.2,,,4,,,0,0,0,0,0,,0,0,0,0,3.7
172,5,K8,0,3.7333333333333334,2.1,3.8,,,3,,,0,0,0,0,0,,,0,0,0,3.1
180,8,K8,0,2.8,1.2000000000000002,2.2,,,,,,,,0,,,,0,0,0,0,2.1
180,10,K8,0,2.8,3.1333333333333333,4,,,,,,,,0,,,,0,0,0,0,3.1
180,15,K8,0,2.2,0.6000000000000001,3.4,,,,,,,,0,,,,0,0,0,0,1.7
180,25,HS,0,2.8666666666666663,0.4,4,2.5999999999999996,3.6,,,,,,0,,,,0,0,0,0,2.4
180,33,K8,0,3,3.6,2,,,3.8,,,,0,0,,0,,0,0,0,0,3.2
180,53,K8,0,1.8,0.8,2,,,,,,,,0,,,,0,0,0,0,1.4
180,55,K8,0,3,2.5999999999999996,2.5999999999999996,,,,,,,,0,,,,,0,0,0,2.8
180,60,K8,0,2,2.5999999999999996,2.4000000000000004,,,,,,,,0,,,,0,0,0,0,2.3
180,73,K8,0,3.4,3.3333333333333335,3.7333333333333334,,,,,,,,0,,,,0,0,0,0,3.4
180,74,K8,0,2.466666666666667,3.8,3,,,4,,,,0,0,,0,,0,0,0,0,3.1
180,79,HS,0,3,2,3,3.8,2.8,0.2,,,,,0,,,,0,0,0,0,2.5
180,85,HS,0,2,0.4,4,4,2,,,,,,,,,,,,0,0,1.8
190,1,K8,0,1.9,2.1,4,,,3,,,0,0,0,0,0,,0,0,0,0,2.3
190,3,K8,0,,2,4,,,,,,,,,,,,,,0,0,2.4
190,5,K8,0,1.8,2,3.7333333333333334,,,2.2,,,,,,,,,,,0,0,2.1
190,10,K8,0,2.1333333333333333,3.8666666666666667,4,,,3.8666666666666667,,,,,,,,,,,0,0,3.1
190,15,K8,0,2.5999999999999996,3.8666666666666667,4,,,2.2,,,0,0,0,,,,,0,0,0,3.1
190,20,HS,0,1,0.1,4,2.6,2.8,0,,,0,0,0,1,0,,0,0,1,1,1.4
190,23,K8,0,1,2,4,,,1.6,,,,,,,,,,,0,0,1.7
190,25,K8,0,0.2,0.1,2.4000000000000004,,,0.9,,,1,1,1,1,1,,0,1,6,1,0.5
190,35,K8,0,1.1333333333333333,0.4,4,,,1.1333333333333333,,,,,,,,,,,0,0,1.2
190,40,K8,0,1.9,0.4,2.3,,,0.8,,1,1,1,1,0,1,,0,0,5,1,1.3
190,45,K8,0,2,2.8666666666666663,2,,,3,,,,,,,,,,,0,0,2.4
190,53,K8,0,3.2,1.8666666666666667,3.6,4,2,,,,0,0,0,,,,,,0,0,2.7
